sym,style,profit,entry_cost,exit_cost,total_cost
USDJPY,intraday,-4.14,0.899999999998613,8.799999999999386,9.699999999997999
USDCHF,swing,-29.11,1.3999999999991797,2.4999999999997247,3.8999999999989043
GBPUSD,scalp,-1.82,0.5000000000010552,1.8999999999991246,2.4000000000001798
EURNZD,swing,-0.74,0.8000000000008001,21.799999999998487,22.599999999999287
GBPCHF,swing,40.98,2.5999999999992696,-0.8000000000008001,1.7999999999984695
EURCHF,swing,374.95,0.20000000000020002,1.40000000000029,1.60000000000049
EURCAD,swing,-3.85,-1.1999999999989797,2.20000000000109,1.0000000000021103
EURCHF,swing,13.72,1.3999999999991797,1.40000000000029,2.7999999999994696
EURUSD,swing,-0.05,4.099999999997994,-3.4000000000000696,0.6999999999979245
AUDNZD,swing,-0.12,3.4000000000000696,-0.700000000000145,2.6999999999999247
AUDNZD,manual,-0.09,1.2999999999996348,-0.5999999999994898,0.700000000000145
