instrument,style,timeframe,start_date,end_date,n_trades,win_rate,net_pnl,profit_factor,run_at
META,scalp,15m,2024-07-06,2026-07-06,44,54.5,387.37,1.054,2026-07-06T18:14:55Z
META,intraday,1h,2024-07-06,2026-07-06,125,34.4,-165.92,0.994,2026-07-06T18:14:59Z
META,swing,1d,2024-07-06,2026-07-06,30,43.3,-2909.39,0.609,2026-07-06T18:15:13Z
META,position,1d,2024-07-06,2026-07-06,13,30.8,-1229.24,0.713,2026-07-06T18:15:30Z
AMZN,scalp,15m,2024-07-06,2026-07-06,43,39.5,-4862.31,0.459,2026-07-06T18:15:31Z
AMZN,intraday,1h,2024-07-06,2026-07-06,124,36.3,403.11,1.015,2026-07-06T18:15:36Z
AMZN,swing,1d,2024-07-06,2026-07-06,33,45.5,-2536.97,0.619,2026-07-06T18:15:46Z
AMZN,position,1d,2024-07-06,2026-07-06,7,14.3,-2199.31,0.158,2026-07-06T18:15:56Z
GOOGL,scalp,15m,2024-07-06,2026-07-06,44,40.9,-1465.78,0.786,2026-07-06T18:15:57Z
GOOGL,intraday,1h,2024-07-06,2026-07-06,128,35.9,-281.57,0.99,2026-07-06T18:16:02Z
GOOGL,swing,1d,2024-07-06,2026-07-06,33,51.5,1943.95,1.33,2026-07-06T18:16:15Z
GOOGL,position,1d,2024-07-06,2026-07-06,11,54.5,2318.2,1.749,2026-07-06T18:16:26Z
TSLA,scalp,15m,2024-07-06,2026-07-06,44,43.2,-3213.18,0.714,2026-07-06T18:16:27Z
TSLA,intraday,1h,2024-07-06,2026-07-06,134,31.3,-2646.51,0.929,2026-07-06T18:16:32Z
TSLA,swing,1d,2024-07-06,2026-07-06,34,44.1,-2529.06,0.689,2026-07-06T18:16:43Z
TSLA,position,1d,2024-07-06,2026-07-06,9,33.3,-1542.21,0.618,2026-07-06T18:16:53Z
AMD,scalp,15m,2024-07-06,2026-07-06,47,38.3,-3241.04,0.721,2026-07-06T18:16:54Z
AMD,intraday,1h,2024-07-06,2026-07-06,143,35.7,9491.78,1.273,2026-07-06T18:16:59Z
AMD,swing,1d,2024-07-06,2026-07-06,34,52.9,4355.19,1.906,2026-07-06T18:17:10Z
AMD,position,1d,2024-07-06,2026-07-06,11,72.7,5535.52,6.199,2026-07-06T18:17:20Z
PLTR,scalp,15m,2024-07-06,2026-07-06,49,46.9,3364.35,1.4,2026-07-06T18:17:21Z
